Province,scenario,statistic,overlap_n,rx1day_history_mean,rx1day_external_mean,additive_bias
江苏,ssp119,p90,9,64.6590910988889,87.12111111111112,-22.462020012222222
江苏,ssp126,median,9,64.6590910988889,58.78444444444444,5.874646654444446
江苏,ssp126,p10,9,64.6590910988889,41.132222222222225,23.52686887666667
江苏,ssp126,p90,9,64.6590910988889,86.59222222222222,-21.93313112333333
江苏,ssp245,median,9,64.6590910988889,59.23444444444445,5.424646654444445
江苏,ssp245,p10,9,64.6590910988889,39.19777777777777,25.461313321111113
江苏,ssp245,p90,9,64.6590910988889,86.88444444444445,-22.225353345555554
江苏,ssp370,median,9,64.6590910988889,59.81777777777778,4.841313321111112
江苏,ssp370,p10,9,64.6590910988889,38.29555555555556,26.363535543333334
江苏,ssp370,p90,9,64.6590910988889,91.65222222222222,-26.993131123333328
江苏,ssp585,median,9,64.6590910988889,59.587777777777774,5.071313321111111
江苏,ssp585,p10,9,64.6590910988889,39.16,25.49909109888889
江苏,ssp585,p90,9,64.6590910988889,88.03888888888889,-23.379797789999998
江西,ssp119,median,9,49.587617512222224,62.69555555555556,-13.107938043333334
江西,ssp119,p10,9,49.587617512222224,45.17333333333333,4.414284178888888
江西,ssp119,p90,9,49.587617512222224,89.66111111111111,-40.07349359888889
江西,ssp126,median,9,49.587617512222224,63.37888888888889,-13.791271376666668
江西,ssp126,p10,9,49.587617512222224,46.20222222222222,3.385395289999999
江西,ssp126,p90,9,49.587617512222224,91.55777777777777,-41.97016026555556
江西,ssp245,median,9,49.587617512222224,62.82555555555556,-13.237938043333335
江西,ssp245,p10,9,49.587617512222224,45.13333333333333,4.454284178888888
江西,ssp245,p90,9,49.587617512222224,88.05666666666667,-38.46904915444444
江西,ssp370,median,9,49.587617512222224,62.76888888888888,-13.181271376666668
江西,ssp370,p10,9,49.587617512222224,44.54666666666667,5.040950845555555
江西,ssp370,p90,9,49.587617512222224,92.57666666666667,-42.989049154444444
江西,ssp585,median,9,49.587617512222224,63.553333333333335,-13.965715821111111
江西,ssp585,p10,9,49.587617512222224,45.50111111111111,4.0865064011111105
江西,ssp585,p90,9,49.587617512222224,90.21,-40.622382487777784
河北,ssp119,median,9,41.05064488888889,44.48555555555556,-3.434910666666668
河北,ssp119,p10,9,41.05064488888889,28.450000000000003,12.600644888888889
河北,ssp119,p90,9,41.05064488888889,70.47555555555556,-29.42491066666667
河北,ssp126,median,9,41.05064488888889,45.053333333333335,-4.002688444444447
河北,ssp126,p10,9,41.05064488888889,29.215555555555554,11.835089333333334
河北,ssp126,p90,9,41.05064488888889,72.5988888888889,-31.548244000000004
河北,ssp245,median,9,41.05064488888889,43.91,-2.8593551111111117
河北,ssp245,p10,9,41.05064488888889,28.87888888888889,12.171756
河北,ssp245,p90,9,41.05064488888889,68.97111111111111,-27.920466222222224
河北,ssp370,median,9,41.05064488888889,44.87444444444444,-3.823799555555556
河北,ssp370,p10,9,41.05064488888889,27.12666666666667,13.923978222222221
河北,ssp370,p90,9,41.05064488888889,74.77222222222223,-33.72157733333333
河北,ssp585,median,9,41.05064488888889,46.63666666666667,-5.586021777777778
河北,ssp585,p10,9,41.05064488888889,29.775555555555556,11.275089333333334
河北,ssp585,p90,9,41.05064488888889,70.68,-29.62935511111111
河南,ssp119,median,9,47.325120139999996,52.07222222222222,-4.747102082222223
河南,ssp119,p10,9,47.325120139999996,33.50333333333334,13.821786806666665
河南,ssp119,p90,9,47.325120139999996,82.65333333333334,-35.32821319333333
河南,ssp126,median,9,47.325120139999996,52.29222222222222,-4.9671020822222225
河南,ssp126,p10,9,47.325120139999996,33.49333333333333,13.831786806666667
河南,ssp126,p90,9,47.325120139999996,83.80333333333334,-36.47821319333333
河南,ssp245,median,9,47.325120139999996,52.215555555555554,-4.890435415555556
河南,ssp245,p10,9,47.325120139999996,34.30222222222222,13.022897917777778
河南,ssp245,p90,9,47.325120139999996,82.3111111111111,-34.985990971111114
河南,ssp370,median,9,47.325120139999996,51.62,-4.294879859999999
河南,ssp370,p10,9,47.325120139999996,32.36888888888889,14.956231251111111
河南,ssp370,p90,9,47.325120139999996,86.77777777777777,-39.452657637777776
河南,ssp585,median,9,47.325120139999996,54.33111111111111,-7.005990971111111
河南,ssp585,p10,9,47.325120139999996,34.29,13.035120139999998
河南,ssp585,p90,9,47.325120139999996,82.87222222222222,-35.547102082222224
浙江,ssp119,median,9,57.532580375555554,65.68666666666667,-8.154086291111108
浙江,ssp119,p10,9,57.532580375555554,44.541111111111114,12.991469264444444
浙江,ssp119,p90,9,57.532580375555554,99.14111111111112,-41.608530735555554
浙江,ssp126,median,9,57.532580375555554,65.95222222222223,-8.419641846666666
浙江,ssp126,p10,9,57.532580375555554,44.99888888888889,12.533691486666665
浙江,ssp126,p90,9,57.532580375555554,98.82111111111111,-41.288530735555554
浙江,ssp245,median,9,57.532580375555554,65.45555555555556,-7.922975179999999
浙江,ssp245,p10,9,57.532580375555554,45.28888888888889,12.243691486666668
浙江,ssp245,p90,9,57.532580375555554,100.46444444444444,-42.931864068888885
浙江,ssp370,median,9,57.532580375555554,66.33,-8.797419624444448
浙江,ssp370,p10,9,57.532580375555554,43.857777777777784,13.674802597777777
浙江,ssp370,p90,9,57.532580375555554,104.04444444444444,-46.51186406888889
浙江,ssp585,median,9,57.532580375555554,66.66333333333334,-9.130752957777778
浙江,ssp585,p10,9,57.532580375555554,44.2,13.332580375555555
浙江,ssp585,p90,9,57.532580375555554,98.05555555555556,-40.52297518
海南,ssp119,median,9,93.58141545000001,78.50333333333333,15.07808211666667
海南,ssp119,p10,9,93.58141545000001,43.282222222222224,50.29919322777778
海南,ssp119,p90,9,93.58141545000001,132.33666666666667,-38.755251216666665
海南,ssp126,median,9,93.58141545000001,79.38333333333334,14.19808211666667
海南,ssp126,p10,9,93.58141545000001,45.919999999999995,47.66141545
海南,ssp126,p90,9,93.58141545000001,135.72444444444443,-42.14302899444444
海南,ssp245,median,9,93.58141545000001,75.81777777777778,17.763637672222224
海南,ssp245,p10,9,93.58141545000001,42.27333333333333,51.30808211666667
海南,ssp245,p90,9,93.58141545000001,131.64888888888888,-38.06747343888888
海南,ssp370,median,9,93.58141545000001,79.75888888888888,13.822526561111115
海南,ssp370,p10,9,93.58141545000001,40.352222222222224,53.22919322777778
海南,ssp370,p90,9,93.58141545000001,137.9888888888889,-44.407473438888886
海南,ssp585,median,9,93.58141545000001,80.25777777777779,13.323637672222224
海南,ssp585,p10,9,93.58141545000001,43.849999999999994,49.73141545
海南,ssp585,p90,9,93.58141545000001,129.6211111111111,-36.039695661111104
湖北,ssp119,median,9,44.85574522333334,57.28,-12.424254776666665
湖北,ssp119,p10,9,44.85574522333334,39.27111111111111,5.584634112222224
湖北,ssp119,p90,9,44.85574522333334,85.19444444444444,-40.338699221111106
湖北,ssp126,median,9,44.85574522333334,58.21777777777778,-13.362032554444442
湖北,ssp126,p10,9,44.85574522333334,40.72777777777778,4.127967445555557
湖北,ssp126,p90,9,44.85574522333334,86.6711111111111,-41.81536588777778
湖北,ssp245,median,9,44.85574522333334,57.05222222222223,-12.196476998888887
湖北,ssp245,p10,9,44.85574522333334,39.76888888888889,5.0868563344444455
湖北,ssp245,p90,9,44.85574522333334,83.57444444444444,-38.71869922111111
湖北,ssp370,median,9,44.85574522333334,57.77111111111112,-12.915365887777776
湖北,ssp370,p10,9,44.85574522333334,38.09111111111111,6.7646341122222235
湖北,ssp370,p90,9,44.85574522333334,88.74888888888889,-43.893143665555556
湖北,ssp585,median,9,44.85574522333334,58.212222222222216,-13.356476998888887
湖北,ssp585,p10,9,44.85574522333334,39.32555555555555,5.5301896677777815
湖北,ssp585,p90,9,44.85574522333334,86.71444444444444,-41.85869922111111
湖南,ssp119,median,9,38.078414684444446,56.18444444444444,-18.10602976
湖南,ssp119,p10,9,38.078414684444446,40.85666666666666,-2.778251982222223
湖南,ssp119,p90,9,38.078414684444446,79.78,-41.701585315555555
湖南,ssp126,median,9,38.078414684444446,57.77444444444445,-19.696029760000002
湖南,ssp126,p10,9,38.078414684444446,41.8,-3.721585315555556
