Province,scenario,statistic,overlap_n,history_value_mean,external_value_mean,additive_bias
广西,ssp245,median,9,20.738134128888888,21.21333333333333,-0.4751992044444443
广西,ssp245,p10,9,20.738134128888888,20.428888888888892,0.3092452399999996
广西,ssp245,p90,9,20.738134128888888,21.959999999999997,-1.2218658711111112
广西,ssp370,median,9,20.738134128888888,21.094444444444445,-0.3563103155555558
广西,ssp370,p10,9,20.738134128888888,20.195555555555554,0.542578573333333
广西,ssp370,p90,9,20.738134128888888,21.871111111111112,-1.1329769822222227
广西,ssp585,median,9,20.738134128888888,21.286666666666665,-0.5485325377777777
广西,ssp585,p10,9,20.738134128888888,20.456666666666667,0.2814674622222222
广西,ssp585,p90,9,20.738134128888888,21.961111111111112,-1.2229769822222218
新疆,ssp119,median,9,6.474162648333333,6.138888888888889,0.33527375944444443
新疆,ssp119,p10,9,6.474162648333333,5.29111111111111,1.1830515372222221
新疆,ssp119,p90,9,6.474162648333333,6.938888888888889,-0.46472624055555556
新疆,ssp126,median,9,6.474162648333333,6.123333333333333,0.3508293150000001
新疆,ssp126,p10,9,6.474162648333333,5.3244444444444445,1.149718203888889
新疆,ssp126,p90,9,6.474162648333333,6.930000000000001,-0.4558373516666668
新疆,ssp245,median,9,6.474162648333333,6.1466666666666665,0.32749598166666655
新疆,ssp245,p10,9,6.474162648333333,5.351111111111112,1.1230515372222218
新疆,ssp245,p90,9,6.474162648333333,6.978888888888889,-0.5047262405555557
新疆,ssp370,median,9,6.474162648333333,6.121111111111111,0.35305153722222216
新疆,ssp370,p10,9,6.474162648333333,5.182222222222222,1.2919404261111112
新疆,ssp370,p90,9,6.474162648333333,6.981111111111111,-0.5069484627777779
新疆,ssp585,median,9,6.474162648333333,6.31,0.16416264833333324
新疆,ssp585,p10,9,6.474162648333333,5.372222222222223,1.101940426111111
新疆,ssp585,p90,9,6.474162648333333,7.07,-0.5958373516666667
江苏,ssp119,median,9,16.087696853333334,16.233333333333334,-0.1456364799999995
江苏,ssp119,p10,9,16.087696853333334,15.438888888888888,0.6488079644444442
江苏,ssp119,p90,9,16.087696853333334,17.022222222222222,-0.9345253688888882
江苏,ssp126,median,9,16.087696853333334,16.332222222222224,-0.24452536888888884
江苏,ssp126,p10,9,16.087696853333334,15.457777777777778,0.6299190755555553
江苏,ssp126,p90,9,16.087696853333334,17.12666666666667,-1.0389698133333338
江苏,ssp245,median,9,16.087696853333334,16.252222222222223,-0.16452536888888936
江苏,ssp245,p10,9,16.087696853333334,15.533333333333335,0.55436352
江苏,ssp245,p90,9,16.087696853333334,17.05333333333333,-0.9656364799999998
江苏,ssp370,median,9,16.087696853333334,16.137777777777778,-0.0500809244444442
江苏,ssp370,p10,9,16.087696853333334,15.264444444444443,0.8232524088888886
江苏,ssp370,p90,9,16.087696853333334,16.95888888888889,-0.871192035555556
江苏,ssp585,median,9,16.087696853333334,16.35,-0.26230314666666704
江苏,ssp585,p10,9,16.087696853333334,15.551111111111112,0.5365857422222222
江苏,ssp585,p90,9,16.087696853333334,17.16888888888889,-1.081192035555556
江西,ssp119,median,9,18.628544134444446,19.153333333333332,-0.5247891988888888
江西,ssp119,p10,9,18.628544134444446,18.346666666666668,0.2818774677777777
江西,ssp119,p90,9,18.628544134444446,19.954444444444444,-1.32590031
江西,ssp126,median,9,18.628544134444446,19.215555555555554,-0.5870114211111108
江西,ssp126,p10,9,18.628544134444446,18.425555555555555,0.2029885788888891
江西,ssp126,p90,9,18.628544134444446,20.066666666666666,-1.4381225322222224
江西,ssp245,median,9,18.628544134444446,19.174444444444443,-0.5459003099999996
江西,ssp245,p10,9,18.628544134444446,18.436666666666667,0.19187746777777745
江西,ssp245,p90,9,18.628544134444446,19.925555555555555,-1.2970114211111106
江西,ssp370,median,9,18.628544134444446,19.049999999999997,-0.4214558655555554
江西,ssp370,p10,9,18.628544134444446,18.119999999999997,0.5085441344444447
江西,ssp370,p90,9,18.628544134444446,19.91888888888889,-1.2903447544444449
江西,ssp585,median,9,18.628544134444446,19.302222222222223,-0.6736780877777776
江西,ssp585,p10,9,18.628544134444446,18.445555555555554,0.18298857888888953
江西,ssp585,p90,9,18.628544134444446,20.107777777777777,-1.479233643333333
河北,ssp119,median,9,10.799496455555555,10.713333333333333,0.08616312222222196
河北,ssp119,p10,9,10.799496455555555,9.741111111111111,1.0583853444444447
河北,ssp119,p90,9,10.799496455555555,11.566666666666668,-0.7671702111111115
河北,ssp126,median,9,10.799496455555555,10.824444444444445,-0.024947988888889147
河北,ssp126,p10,9,10.799496455555555,9.836666666666666,0.9628297888888887
河北,ssp126,p90,9,10.799496455555555,11.63,-0.8305035444444447
河北,ssp245,median,9,10.799496455555555,10.735555555555557,0.06394090000000002
河北,ssp245,p10,9,10.799496455555555,9.868888888888888,0.9306075666666668
河北,ssp245,p90,9,10.799496455555555,11.64111111111111,-0.8416146555555558
河北,ssp370,median,9,10.799496455555555,10.583333333333334,0.21616312222222214
河北,ssp370,p10,9,10.799496455555555,9.5,1.2994964555555555
河北,ssp370,p90,9,10.799496455555555,11.526666666666666,-0.7271702111111112
河北,ssp585,median,9,10.799496455555555,10.884444444444446,-0.08494798888888905
河北,ssp585,p10,9,10.799496455555555,9.818888888888889,0.9806075666666667
河北,ssp585,p90,9,10.799496455555555,11.703333333333333,-0.9038368777777781
河南,ssp119,median,9,15.71424805888889,15.461111111111112,0.2531369477777776
河南,ssp119,p10,9,15.71424805888889,14.620000000000001,1.0942480588888885
河南,ssp119,p90,9,15.71424805888889,16.32888888888889,-0.6146408300000008
河南,ssp126,median,9,15.71424805888889,15.541111111111112,0.17313694777777755
河南,ssp126,p10,9,15.71424805888889,14.702222222222222,1.0120258366666663
河南,ssp126,p90,9,15.71424805888889,16.362222222222222,-0.6479741633333338
河南,ssp245,median,9,15.71424805888889,15.486666666666666,0.2275813922222224
河南,ssp245,p10,9,15.71424805888889,14.732222222222223,0.9820258366666663
河南,ssp245,p90,9,15.71424805888889,16.396666666666665,-0.6824186077777781
河南,ssp370,median,9,15.71424805888889,15.354444444444445,0.3598036144444442
河南,ssp370,p10,9,15.71424805888889,14.396666666666667,1.3175813922222217
河南,ssp370,p90,9,15.71424805888889,16.24111111111111,-0.5268630522222222
