Province,Year,scenario,statistic,rx1day,additive_bias,overlap_n,rx1day_aligned
宁夏,2030,ssp119,p90,42.98,-21.14935703,9,21.830642969999996
宁夏,2031,ssp119,p90,47.14,-21.14935703,9,25.99064297
宁夏,2032,ssp119,p90,45.41,-21.14935703,9,24.260642969999996
宁夏,2033,ssp119,p90,44.06,-21.14935703,9,22.91064297
宁夏,2034,ssp119,p90,44.38,-21.14935703,9,23.23064297
宁夏,2035,ssp119,p90,43.89,-21.14935703,9,22.74064297
宁夏,2036,ssp119,p90,43.04,-21.14935703,9,21.89064297
宁夏,2037,ssp119,p90,44.72,-21.14935703,9,23.570642969999998
宁夏,2038,ssp119,p90,44.23,-21.14935703,9,23.080642969999996
宁夏,2039,ssp119,p90,42.06,-21.14935703,9,20.91064297
宁夏,2040,ssp119,p90,42.03,-21.14935703,9,20.88064297
宁夏,2041,ssp119,p90,41.72,-21.14935703,9,20.570642969999998
宁夏,2042,ssp119,p90,41.81,-21.14935703,9,20.66064297
宁夏,2043,ssp119,p90,43.36,-21.14935703,9,22.21064297
宁夏,2044,ssp119,p90,42.31,-21.14935703,9,21.16064297
宁夏,2045,ssp119,p90,44.19,-21.14935703,9,23.040642969999997
宁夏,2046,ssp119,p90,42.68,-21.14935703,9,21.53064297
宁夏,2047,ssp119,p90,41.42,-21.14935703,9,20.27064297
宁夏,2048,ssp119,p90,41.41,-21.14935703,9,20.260642969999996
宁夏,2049,ssp119,p90,42.48,-21.14935703,9,21.330642969999996
宁夏,2050,ssp119,p90,41.59,-21.14935703,9,20.440642970000003
青海,2024,ssp119,p90,18.69,-10.383363133,9,8.306636867000002
青海,2025,ssp119,p90,18.56,-10.383363133,9,8.176636867
青海,2026,ssp119,p90,18.76,-10.383363133,9,8.376636867000002
青海,2027,ssp119,p90,18.51,-10.383363133,9,8.126636867000002
青海,2028,ssp119,p90,18.28,-10.383363133,9,7.896636867000002
青海,2029,ssp119,p90,18.41,-10.383363133,9,8.026636867
青海,2030,ssp119,p90,18.36,-10.383363133,9,7.976636867
青海,2031,ssp119,p90,18.16,-10.383363133,9,7.776636867000001
青海,2032,ssp119,p90,17.87,-10.383363133,9,7.486636867000001
青海,2033,ssp119,p90,18.21,-10.383363133,9,7.826636867000001
青海,2034,ssp119,p90,18.29,-10.383363133,9,7.906636867
青海,2035,ssp119,p90,18.03,-10.383363133,9,7.646636867000002
青海,2036,ssp119,p90,18.39,-10.383363133,9,8.006636867000001
青海,2037,ssp119,p90,18.57,-10.383363133,9,8.186636867
青海,2038,ssp119,p90,18.3,-10.383363133,9,7.916636867000001
青海,2039,ssp119,p90,18.16,-10.383363133,9,7.776636867000001
青海,2040,ssp119,p90,18.16,-10.383363133,9,7.776636867000001
青海,2041,ssp119,p90,18.0,-10.383363133,9,7.616636867
青海,2042,ssp119,p90,17.94,-10.383363133,9,7.556636867000002
青海,2043,ssp119,p90,17.93,-10.383363133,9,7.546636867
青海,2044,ssp119,p90,18.07,-10.383363133,9,7.686636867000001
青海,2045,ssp119,p90,17.56,-10.383363133,9,7.176636866999999
青海,2046,ssp119,p90,17.9,-10.383363133,9,7.516636866999999
青海,2047,ssp119,p90,18.27,-10.383363133,9,7.886636867
青海,2048,ssp119,p90,17.52,-10.383363133,9,7.136636867
青海,2049,ssp119,p90,17.58,-10.383363133,9,7.196636866999999
青海,2050,ssp119,p90,17.37,-10.383363133,9,6.986636867000001
陕西,2024,ssp119,p90,62.78,-34.21799522222222,9,28.56200477777778
陕西,2025,ssp119,p90,63.33,-34.21799522222222,9,29.112004777777777
陕西,2026,ssp119,p90,60.95,-34.21799522222222,9,26.73200477777778
陕西,2027,ssp119,p90,60.54,-34.21799522222222,9,26.322004777777778
陕西,2028,ssp119,p90,63.82,-34.21799522222222,9,29.60200477777778
陕西,2029,ssp119,p90,62.5,-34.21799522222222,9,28.28200477777778
陕西,2030,ssp119,p90,60.82,-34.21799522222222,9,26.60200477777778
