province,scenario,percentile,period,rx1day,source_file
Ningxia Huizu Zizhiqu,ssp119,p10,2060-2079,16.8,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Qinghai Sheng,ssp119,p10,2060-2079,7.82,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Shaanxi Sheng,ssp119,p10,2060-2079,26.7,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Shandong Sheng,ssp119,p10,2060-2079,32.3,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Shanghai Shi,ssp119,p10,2060-2079,39.56,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Shanxi Sheng,ssp119,p10,2060-2079,24.32,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Sichuan Sheng,ssp119,p10,2060-2079,20.28,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Tianjin Shi,ssp119,p10,2060-2079,27.91,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Xinjiang Uygur Zizhiqu,ssp119,p10,2060-2079,6.42,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Xizang Zizhiqu,ssp119,p10,2060-2079,8.87,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Yunnan Sheng,ssp119,p10,2060-2079,26.25,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Zhejiang Sheng,ssp119,p10,2060-2079,45.38,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Anhui Sheng,ssp119,p10,2080-2099,40.17,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Beijing Shi,ssp119,p10,2080-2099,26.24,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Chongqing Shi,ssp119,p10,2080-2099,32.64,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Fujian Sheng,ssp119,p10,2080-2099,46.06,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Gansu Sheng,ssp119,p10,2080-2099,12.09,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Guangdong Sheng,ssp119,p10,2080-2099,47.14,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Guangxi Zhuangzu Zizhiqu,ssp119,p10,2080-2099,41.89,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Guizhou Sheng,ssp119,p10,2080-2099,29.41,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Hainan Sheng,ssp119,p10,2080-2099,48.17,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
