province,scenario,percentile,period,rx1day,source_file
Jilin Sheng,ssp126,median,2060-2079,35.52,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Liaoning Sheng,ssp126,median,2060-2079,43.97,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
"Macau, SAR",ssp126,median,2060-2079,70.43,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Nei Mongol Zizhiqu,ssp126,median,2060-2079,21.52,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Ningxia Huizu Zizhiqu,ssp126,median,2060-2079,25.14,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Qinghai Sheng,ssp126,median,2060-2079,10.81,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Shaanxi Sheng,ssp126,median,2060-2079,38.17,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Shandong Sheng,ssp126,median,2060-2079,47.31,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Shanghai Shi,ssp126,median,2060-2079,55.54,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Shanxi Sheng,ssp126,median,2060-2079,33.73,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Sichuan Sheng,ssp126,median,2060-2079,29.15,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Taiwan Sheng,ssp126,median,2060-2079,156.4,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Tianjin Shi,ssp126,median,2060-2079,41.95,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Xinjiang Uygur Zizhiqu,ssp126,median,2060-2079,9.77,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Xizang Zizhiqu,ssp126,median,2060-2079,12.86,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Yunnan Sheng,ssp126,median,2060-2079,38.0,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Zhejiang Sheng,ssp126,median,2060-2079,65.91,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Anhui Sheng,ssp126,median,2080-2099,56.95,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Beijing Shi,ssp126,median,2080-2099,40.0,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Chongqing Shi,ssp126,median,2080-2099,47.32,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Fujian Sheng,ssp126,median,2080-2099,66.66,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Gansu Sheng,ssp126,median,2080-2099,17.78,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Guangdong Sheng,ssp126,median,2080-2099,70.29,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Guangxi Zhuangzu Zizhiqu,ssp126,median,2080-2099,62.9,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Guizhou Sheng,ssp126,median,2080-2099,41.93,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Hainan Sheng,ssp126,median,2080-2099,75.5,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Hebei Sheng,ssp126,median,2080-2099,36.9,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Heilongjiang Sheng,ssp126,median,2080-2099,29.12,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Henan Sheng,ssp126,median,2080-2099,48.02,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
"Hong Kong, SAR",ssp126,median,2080-2099,66.91,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Hubei Sheng,ssp126,median,2080-2099,54.43,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Hunan Sheng,ssp126,median,2080-2099,56.6,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Jiangsu Sheng,ssp126,median,2080-2099,54.34,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Jiangxi Sheng,ssp126,median,2080-2099,62.09,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Jilin Sheng,ssp126,median,2080-2099,35.48,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Liaoning Sheng,ssp126,median,2080-2099,44.57,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
"Macau, SAR",ssp126,median,2080-2099,69.01,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Nei Mongol Zizhiqu,ssp126,median,2080-2099,21.68,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Ningxia Huizu Zizhiqu,ssp126,median,2080-2099,25.09,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Qinghai Sheng,ssp126,median,2080-2099,10.81,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Shaanxi Sheng,ssp126,median,2080-2099,38.1,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Shandong Sheng,ssp126,median,2080-2099,47.12,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Shanghai Shi,ssp126,median,2080-2099,55.38,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Shanxi Sheng,ssp126,median,2080-2099,34.16,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Sichuan Sheng,ssp126,median,2080-2099,29.41,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Taiwan Sheng,ssp126,median,2080-2099,153.27,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Tianjin Shi,ssp126,median,2080-2099,43.16,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Xinjiang Uygur Zizhiqu,ssp126,median,2080-2099,9.79,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Xizang Zizhiqu,ssp126,median,2080-2099,12.94,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Yunnan Sheng,ssp126,median,2080-2099,38.06,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Zhejiang Sheng,ssp126,median,2080-2099,63.95,rx1day_CHNprov_ssp126_median_2080-2099.xlsx
Anhui Sheng,ssp126,p10,2020-2039,40.72,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Beijing Shi,ssp126,p10,2020-2039,27.03,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Chongqing Shi,ssp126,p10,2020-2039,32.72,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Fujian Sheng,ssp126,p10,2020-2039,47.47,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Gansu Sheng,ssp126,p10,2020-2039,12.22,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Guangdong Sheng,ssp126,p10,2020-2039,47.48,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Guangxi Zhuangzu Zizhiqu,ssp126,p10,2020-2039,42.26,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Guizhou Sheng,ssp126,p10,2020-2039,29.4,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Hainan Sheng,ssp126,p10,2020-2039,46.7,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Hebei Sheng,ssp126,p10,2020-2039,25.4,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Heilongjiang Sheng,ssp126,p10,2020-2039,20.5,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Henan Sheng,ssp126,p10,2020-2039,33.87,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
"Hong Kong, SAR",ssp126,p10,2020-2039,45.2,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Hubei Sheng,ssp126,p10,2020-2039,37.74,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Hunan Sheng,ssp126,p10,2020-2039,39.8,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Jiangsu Sheng,ssp126,p10,2020-2039,38.65,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Jiangxi Sheng,ssp126,p10,2020-2039,45.08,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Jilin Sheng,ssp126,p10,2020-2039,24.85,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Liaoning Sheng,ssp126,p10,2020-2039,31.26,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
"Macau, SAR",ssp126,p10,2020-2039,44.81,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Nei Mongol Zizhiqu,ssp126,p10,2020-2039,14.59,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Ningxia Huizu Zizhiqu,ssp126,p10,2020-2039,17.02,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Qinghai Sheng,ssp126,p10,2020-2039,7.93,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Shaanxi Sheng,ssp126,p10,2020-2039,27.07,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Shandong Sheng,ssp126,p10,2020-2039,33.04,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Shanghai Shi,ssp126,p10,2020-2039,39.51,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Shanxi Sheng,ssp126,p10,2020-2039,24.33,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Sichuan Sheng,ssp126,p10,2020-2039,20.46,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Taiwan Sheng,ssp126,p10,2020-2039,89.02,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Tianjin Shi,ssp126,p10,2020-2039,27.42,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Xinjiang Uygur Zizhiqu,ssp126,p10,2020-2039,6.35,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Xizang Zizhiqu,ssp126,p10,2020-2039,8.87,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Yunnan Sheng,ssp126,p10,2020-2039,26.13,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Zhejiang Sheng,ssp126,p10,2020-2039,45.2,rx1day_CHNprov_ssp126_p10_2020-2039.xlsx
Anhui Sheng,ssp126,p10,2040-2059,41.34,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Beijing Shi,ssp126,p10,2040-2059,26.0,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Chongqing Shi,ssp126,p10,2040-2059,33.59,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Fujian Sheng,ssp126,p10,2040-2059,46.8,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Gansu Sheng,ssp126,p10,2040-2059,12.41,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Guangdong Sheng,ssp126,p10,2040-2059,48.3,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Guangxi Zhuangzu Zizhiqu,ssp126,p10,2040-2059,42.9,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Guizhou Sheng,ssp126,p10,2040-2059,30.13,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Hainan Sheng,ssp126,p10,2040-2059,45.81,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Hebei Sheng,ssp126,p10,2040-2059,24.88,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Heilongjiang Sheng,ssp126,p10,2040-2059,21.26,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Henan Sheng,ssp126,p10,2040-2059,34.03,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
"Hong Kong, SAR",ssp126,p10,2040-2059,45.68,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Hubei Sheng,ssp126,p10,2040-2059,38.98,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Hunan Sheng,ssp126,p10,2040-2059,41.13,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Jiangsu Sheng,ssp126,p10,2040-2059,39.91,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Jiangxi Sheng,ssp126,p10,2040-2059,45.11,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Jilin Sheng,ssp126,p10,2040-2059,25.61,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Liaoning Sheng,ssp126,p10,2040-2059,30.59,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
"Macau, SAR",ssp126,p10,2040-2059,47.79,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Nei Mongol Zizhiqu,ssp126,p10,2040-2059,14.93,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Ningxia Huizu Zizhiqu,ssp126,p10,2040-2059,17.62,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Qinghai Sheng,ssp126,p10,2040-2059,8.03,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Shaanxi Sheng,ssp126,p10,2040-2059,27.29,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Shandong Sheng,ssp126,p10,2040-2059,32.76,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Shanghai Shi,ssp126,p10,2040-2059,40.95,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Shanxi Sheng,ssp126,p10,2040-2059,24.86,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Sichuan Sheng,ssp126,p10,2040-2059,20.84,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Taiwan Sheng,ssp126,p10,2040-2059,85.67,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Tianjin Shi,ssp126,p10,2040-2059,27.17,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Xinjiang Uygur Zizhiqu,ssp126,p10,2040-2059,6.47,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Xizang Zizhiqu,ssp126,p10,2040-2059,9.03,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Yunnan Sheng,ssp126,p10,2040-2059,26.76,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Zhejiang Sheng,ssp126,p10,2040-2059,46.28,rx1day_CHNprov_ssp126_p10_2040-2059.xlsx
Anhui Sheng,ssp126,p10,2060-2079,41.16,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Beijing Shi,ssp126,p10,2060-2079,26.49,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Chongqing Shi,ssp126,p10,2060-2079,33.98,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Fujian Sheng,ssp126,p10,2060-2079,48.7,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Gansu Sheng,ssp126,p10,2060-2079,12.74,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Guangdong Sheng,ssp126,p10,2060-2079,49.53,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Guangxi Zhuangzu Zizhiqu,ssp126,p10,2060-2079,44.6,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Guizhou Sheng,ssp126,p10,2060-2079,30.74,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Hainan Sheng,ssp126,p10,2060-2079,47.29,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Hebei Sheng,ssp126,p10,2060-2079,25.07,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Heilongjiang Sheng,ssp126,p10,2060-2079,21.21,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Henan Sheng,ssp126,p10,2060-2079,33.82,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
"Hong Kong, SAR",ssp126,p10,2060-2079,48.27,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Hubei Sheng,ssp126,p10,2060-2079,39.36,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Hunan Sheng,ssp126,p10,2060-2079,41.42,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Jiangsu Sheng,ssp126,p10,2060-2079,39.48,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Jiangxi Sheng,ssp126,p10,2060-2079,46.6,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Jilin Sheng,ssp126,p10,2060-2079,25.46,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Liaoning Sheng,ssp126,p10,2060-2079,31.53,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
"Macau, SAR",ssp126,p10,2060-2079,47.06,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Nei Mongol Zizhiqu,ssp126,p10,2060-2079,15.07,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Ningxia Huizu Zizhiqu,ssp126,p10,2060-2079,17.82,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Qinghai Sheng,ssp126,p10,2060-2079,8.14,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Shaanxi Sheng,ssp126,p10,2060-2079,27.62,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Shandong Sheng,ssp126,p10,2060-2079,33.06,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Shanghai Shi,ssp126,p10,2060-2079,39.92,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Shanxi Sheng,ssp126,p10,2060-2079,24.58,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Sichuan Sheng,ssp126,p10,2060-2079,21.04,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Taiwan Sheng,ssp126,p10,2060-2079,91.66,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Tianjin Shi,ssp126,p10,2060-2079,28.05,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Xinjiang Uygur Zizhiqu,ssp126,p10,2060-2079,6.51,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Xizang Zizhiqu,ssp126,p10,2060-2079,9.07,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Yunnan Sheng,ssp126,p10,2060-2079,27.1,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Zhejiang Sheng,ssp126,p10,2060-2079,47.14,rx1day_CHNprov_ssp126_p10_2060-2079.xlsx
Anhui Sheng,ssp126,p10,2080-2099,41.73,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Beijing Shi,ssp126,p10,2080-2099,28.11,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Chongqing Shi,ssp126,p10,2080-2099,34.46,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Fujian Sheng,ssp126,p10,2080-2099,48.38,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Gansu Sheng,ssp126,p10,2080-2099,12.6,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Guangdong Sheng,ssp126,p10,2080-2099,49.73,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Guangxi Zhuangzu Zizhiqu,ssp126,p10,2080-2099,44.16,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Guizhou Sheng,ssp126,p10,2080-2099,30.69,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Hainan Sheng,ssp126,p10,2080-2099,48.72,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Hebei Sheng,ssp126,p10,2080-2099,25.87,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Heilongjiang Sheng,ssp126,p10,2080-2099,21.34,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Henan Sheng,ssp126,p10,2080-2099,34.07,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
"Hong Kong, SAR",ssp126,p10,2080-2099,47.97,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Hubei Sheng,ssp126,p10,2080-2099,39.89,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Hunan Sheng,ssp126,p10,2080-2099,41.39,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Jiangsu Sheng,ssp126,p10,2080-2099,39.92,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Jiangxi Sheng,ssp126,p10,2080-2099,45.66,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Jilin Sheng,ssp126,p10,2080-2099,25.98,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Liaoning Sheng,ssp126,p10,2080-2099,31.5,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
"Macau, SAR",ssp126,p10,2080-2099,47.97,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Nei Mongol Zizhiqu,ssp126,p10,2080-2099,15.07,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Ningxia Huizu Zizhiqu,ssp126,p10,2080-2099,17.19,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Qinghai Sheng,ssp126,p10,2080-2099,8.11,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Shaanxi Sheng,ssp126,p10,2080-2099,27.79,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Shandong Sheng,ssp126,p10,2080-2099,33.16,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Shanghai Shi,ssp126,p10,2080-2099,41.02,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Shanxi Sheng,ssp126,p10,2080-2099,24.61,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Sichuan Sheng,ssp126,p10,2080-2099,21.3,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Taiwan Sheng,ssp126,p10,2080-2099,91.27,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Tianjin Shi,ssp126,p10,2080-2099,28.27,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Xinjiang Uygur Zizhiqu,ssp126,p10,2080-2099,6.43,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Xizang Zizhiqu,ssp126,p10,2080-2099,9.15,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Yunnan Sheng,ssp126,p10,2080-2099,27.2,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Zhejiang Sheng,ssp126,p10,2080-2099,47.06,rx1day_CHNprov_ssp126_p10_2080-2099.xlsx
Anhui Sheng,ssp126,p90,2020-2039,71.86,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Beijing Shi,ssp126,p90,2020-2039,54.46,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Chongqing Shi,ssp126,p90,2020-2039,59.93,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Fujian Sheng,ssp126,p90,2020-2039,83.89,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Gansu Sheng,ssp126,p90,2020-2039,22.73,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Guangdong Sheng,ssp126,p90,2020-2039,91.55,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Guangxi Zhuangzu Zizhiqu,ssp126,p90,2020-2039,80.94,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Guizhou Sheng,ssp126,p90,2020-2039,55.08,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Hainan Sheng,ssp126,p90,2020-2039,101.67,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Hebei Sheng,ssp126,p90,2020-2039,48.7,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Heilongjiang Sheng,ssp126,p90,2020-2039,37.45,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Henan Sheng,ssp126,p90,2020-2039,62.88,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
"Hong Kong, SAR",ssp126,p90,2020-2039,88.74,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Hubei Sheng,ssp126,p90,2020-2039,69.55,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Hunan Sheng,ssp126,p90,2020-2039,74.35,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Jiangsu Sheng,ssp126,p90,2020-2039,68.51,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Jiangxi Sheng,ssp126,p90,2020-2039,80.87,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Jilin Sheng,ssp126,p90,2020-2039,45.56,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Liaoning Sheng,ssp126,p90,2020-2039,58.53,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
"Macau, SAR",ssp126,p90,2020-2039,91.4,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Nei Mongol Zizhiqu,ssp126,p90,2020-2039,28.29,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Ningxia Huizu Zizhiqu,ssp126,p90,2020-2039,31.8,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Qinghai Sheng,ssp126,p90,2020-2039,13.63,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Shaanxi Sheng,ssp126,p90,2020-2039,48.02,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Shandong Sheng,ssp126,p90,2020-2039,61.76,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Shanghai Shi,ssp126,p90,2020-2039,74.12,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Shanxi Sheng,ssp126,p90,2020-2039,42.99,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Sichuan Sheng,ssp126,p90,2020-2039,37.28,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Taiwan Sheng,ssp126,p90,2020-2039,247.4,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Tianjin Shi,ssp126,p90,2020-2039,57.48,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Xinjiang Uygur Zizhiqu,ssp126,p90,2020-2039,13.83,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Xizang Zizhiqu,ssp126,p90,2020-2039,26.76,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Yunnan Sheng,ssp126,p90,2020-2039,49.46,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Zhejiang Sheng,ssp126,p90,2020-2039,83.1,rx1day_CHNprov_ssp126_p90_2020-2039.xlsx
Anhui Sheng,ssp126,p90,2040-2059,73.48,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Beijing Shi,ssp126,p90,2040-2059,55.5,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Chongqing Shi,ssp126,p90,2040-2059,61.57,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Fujian Sheng,ssp126,p90,2040-2059,85.21,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Gansu Sheng,ssp126,p90,2040-2059,23.56,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Guangdong Sheng,ssp126,p90,2040-2059,93.63,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Guangxi Zhuangzu Zizhiqu,ssp126,p90,2040-2059,83.7,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Guizhou Sheng,ssp126,p90,2040-2059,56.0,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Hainan Sheng,ssp126,p90,2040-2059,102.35,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Hebei Sheng,ssp126,p90,2040-2059,49.79,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Heilongjiang Sheng,ssp126,p90,2040-2059,38.01,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Henan Sheng,ssp126,p90,2040-2059,63.16,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
"Hong Kong, SAR",ssp126,p90,2040-2059,92.03,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Hubei Sheng,ssp126,p90,2040-2059,71.12,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Hunan Sheng,ssp126,p90,2040-2059,74.54,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Jiangsu Sheng,ssp126,p90,2040-2059,70.6,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Jiangxi Sheng,ssp126,p90,2040-2059,80.79,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Jilin Sheng,ssp126,p90,2040-2059,46.56,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
Liaoning Sheng,ssp126,p90,2040-2059,58.07,rx1day_CHNprov_ssp126_p90_2040-2059.xlsx
