province,province_code,year,time_key,scenario,statistic,tas,source_file,data_stage,Province
Anhui Sheng,CHN.147295898,1963,1963-07,historical,p10,15.16,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1964,1964-07,historical,p10,14.97,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1965,1965-07,historical,p10,14.79,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1966,1966-07,historical,p10,15.27,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1967,1967-07,historical,p10,15.09,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1968,1968-07,historical,p10,15.04,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1969,1969-07,historical,p10,15.08,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1970,1970-07,historical,p10,14.76,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1971,1971-07,historical,p10,14.73,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1972,1972-07,historical,p10,14.95,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1973,1973-07,historical,p10,15.07,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1974,1974-07,historical,p10,15.21,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1975,1975-07,historical,p10,14.91,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1976,1976-07,historical,p10,14.89,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1977,1977-07,historical,p10,14.89,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1978,1978-07,historical,p10,15.0,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1979,1979-07,historical,p10,14.79,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1980,1980-07,historical,p10,15.13,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1981,1981-07,historical,p10,15.1,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1982,1982-07,historical,p10,15.08,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1983,1983-07,historical,p10,14.68,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1984,1984-07,historical,p10,14.86,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1985,1985-07,historical,p10,14.94,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1986,1986-07,historical,p10,15.14,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1987,1987-07,historical,p10,15.01,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1988,1988-07,historical,p10,15.08,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1989,1989-07,historical,p10,15.36,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1990,1990-07,historical,p10,15.23,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1991,1991-07,historical,p10,15.27,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1992,1992-07,historical,p10,14.84,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1993,1993-07,historical,p10,14.69,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1994,1994-07,historical,p10,15.16,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1995,1995-07,historical,p10,15.2,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1996,1996-07,historical,p10,15.43,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1997,1997-07,historical,p10,15.4,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1998,1998-07,historical,p10,15.51,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1999,1999-07,historical,p10,15.22,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2000,2000-07,historical,p10,15.45,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2001,2001-07,historical,p10,15.7,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2002,2002-07,historical,p10,15.62,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2003,2003-07,historical,p10,15.56,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2004,2004-07,historical,p10,15.46,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2005,2005-07,historical,p10,15.39,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2006,2006-07,historical,p10,15.42,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2007,2007-07,historical,p10,15.7,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2008,2008-07,historical,p10,15.32,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2009,2009-07,historical,p10,15.55,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
