country,country_code,year,time_key,scenario,statistic,tas,source_file
China,CHN,2098,2098-07,ssp119,median,8.12,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2099,2099-07,ssp119,median,8.16,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2100,2100-07,ssp119,median,8.17,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2015,2015-07,ssp119,p10,6.69,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2016,2016-07,ssp119,p10,6.59,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2017,2017-07,ssp119,p10,6.77,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2018,2018-07,ssp119,p10,6.72,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2019,2019-07,ssp119,p10,6.73,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2020,2020-07,ssp119,p10,6.8,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2021,2021-07,ssp119,p10,6.82,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2022,2022-07,ssp119,p10,6.88,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2023,2023-07,ssp119,p10,6.94,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2024,2024-07,ssp119,p10,6.98,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2025,2025-07,ssp119,p10,6.97,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2026,2026-07,ssp119,p10,7.01,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2027,2027-07,ssp119,p10,7.08,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2028,2028-07,ssp119,p10,7.07,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2029,2029-07,ssp119,p10,7.13,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2030,2030-07,ssp119,p10,7.08,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2031,2031-07,ssp119,p10,7.17,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2032,2032-07,ssp119,p10,7.19,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2033,2033-07,ssp119,p10,7.21,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2034,2034-07,ssp119,p10,7.27,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2035,2035-07,ssp119,p10,7.26,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2036,2036-07,ssp119,p10,7.27,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2037,2037-07,ssp119,p10,7.36,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2038,2038-07,ssp119,p10,7.4,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2039,2039-07,ssp119,p10,7.31,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2040,2040-07,ssp119,p10,7.28,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2041,2041-07,ssp119,p10,7.36,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2042,2042-07,ssp119,p10,7.36,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2043,2043-07,ssp119,p10,7.45,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2044,2044-07,ssp119,p10,7.39,tas_timeseries_CHN_2015-2100_median_p10_p90.json
