Province,province,province_code,scenario,statistic,future_reference_n,future_tas_sum,hist_reference_n,hist_tas_sum,reference_n,tas_ref_1991_2020,reference_period,reference_method,reference_hist_years,reference_future_years
内蒙古,Nei Mongol Zizhiqu,CHN.147295917,ssp585,p90,6,38.57,24,132.48,30,5.701666666666666,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
北京,Beijing Shi,CHN.147295899,ssp119,median,6,68.34,24,258.53,30,10.895666666666667,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
北京,Beijing Shi,CHN.147295899,ssp119,p10,6,62.66,24,240.22,30,10.096,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
北京,Beijing Shi,CHN.147295899,ssp119,p90,6,73.32,24,275.04,30,11.612,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
北京,Beijing Shi,CHN.147295899,ssp126,median,6,68.69,24,258.53,30,10.907333333333332,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
北京,Beijing Shi,CHN.147295899,ssp126,p10,6,62.980000000000004,24,240.22,30,10.106666666666666,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
北京,Beijing Shi,CHN.147295899,ssp126,p90,6,73.46,24,275.04,30,11.616666666666667,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
北京,Beijing Shi,CHN.147295899,ssp245,median,6,68.46000000000001,24,258.53,30,10.899666666666667,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
北京,Beijing Shi,CHN.147295899,ssp245,p10,6,63.45,24,240.22,30,10.122333333333334,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
北京,Beijing Shi,CHN.147295899,ssp245,p90,6,73.56,24,275.04,30,11.620000000000001,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
北京,Beijing Shi,CHN.147295899,ssp370,median,6,67.71000000000001,24,258.53,30,10.874666666666666,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
北京,Beijing Shi,CHN.147295899,ssp370,p10,6,61.48,24,240.22,30,10.056666666666667,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
北京,Beijing Shi,CHN.147295899,ssp370,p90,6,73.05,24,275.04,30,11.603000000000002,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
北京,Beijing Shi,CHN.147295899,ssp585,median,6,69.21,24,258.53,30,10.924666666666665,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
北京,Beijing Shi,CHN.147295899,ssp585,p10,6,62.96,24,240.22,30,10.106,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
北京,Beijing Shi,CHN.147295899,ssp585,p90,6,74.26,24,275.04,30,11.643333333333334,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
吉林,Jilin Sheng,CHN.147295915,ssp119,median,6,35.86,24,128.0,30,5.462000000000001,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
吉林,Jilin Sheng,CHN.147295915,ssp119,p10,6,29.08,24,104.32,30,4.446666666666666,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
吉林,Jilin Sheng,CHN.147295915,ssp119,p90,6,41.46,24,147.66,30,6.304,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
吉林,Jilin Sheng,CHN.147295915,ssp126,median,6,35.84,24,128.0,30,5.461333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
吉林,Jilin Sheng,CHN.147295915,ssp126,p10,6,29.55,24,104.32,30,4.4623333333333335,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
吉林,Jilin Sheng,CHN.147295915,ssp126,p90,6,42.22,24,147.66,30,6.3293333333333335,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
吉林,Jilin Sheng,CHN.147295915,ssp245,median,6,36.11,24,128.0,30,5.4703333333333335,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
吉林,Jilin Sheng,CHN.147295915,ssp245,p10,6,30.0,24,104.32,30,4.477333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
吉林,Jilin Sheng,CHN.147295915,ssp245,p90,6,40.59,24,147.66,30,6.275,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
吉林,Jilin Sheng,CHN.147295915,ssp370,median,6,35.18,24,128.0,30,5.439333333333334,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
吉林,Jilin Sheng,CHN.147295915,ssp370,p10,6,28.009999999999998,24,104.32,30,4.411,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
吉林,Jilin Sheng,CHN.147295915,ssp370,p90,6,41.69,24,147.66,30,6.3116666666666665,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
吉林,Jilin Sheng,CHN.147295915,ssp585,median,6,37.08,24,128.0,30,5.502666666666666,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
吉林,Jilin Sheng,CHN.147295915,ssp585,p10,6,28.81,24,104.32,30,4.437666666666667,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
吉林,Jilin Sheng,CHN.147295915,ssp585,p90,6,42.46,24,147.66,30,6.3373333333333335,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
四川,Sichuan Sheng,CHN.147295924,ssp119,median,6,48.24,24,180.01,30,7.608333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
四川,Sichuan Sheng,CHN.147295924,ssp119,p10,6,43.75,24,164.73,30,6.949333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
四川,Sichuan Sheng,CHN.147295924,ssp119,p90,6,52.64,24,193.57,30,8.206999999999999,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
四川,Sichuan Sheng,CHN.147295924,ssp126,median,6,48.35,24,180.01,30,7.611999999999999,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
四川,Sichuan Sheng,CHN.147295924,ssp126,p10,6,44.31,24,164.73,30,6.968,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
四川,Sichuan Sheng,CHN.147295924,ssp126,p90,6,53.37,24,193.57,30,8.231333333333334,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
四川,Sichuan Sheng,CHN.147295924,ssp245,median,6,48.19,24,180.01,30,7.6066666666666665,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
四川,Sichuan Sheng,CHN.147295924,ssp245,p10,6,43.910000000000004,24,164.73,30,6.954666666666666,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
四川,Sichuan Sheng,CHN.147295924,ssp245,p90,6,52.41,24,193.57,30,8.199333333333334,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
四川,Sichuan Sheng,CHN.147295924,ssp370,median,6,47.93,24,180.01,30,7.598,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
四川,Sichuan Sheng,CHN.147295924,ssp370,p10,6,42.86,24,164.73,30,6.919666666666666,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
四川,Sichuan Sheng,CHN.147295924,ssp370,p90,6,52.54,24,193.57,30,8.203666666666667,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
四川,Sichuan Sheng,CHN.147295924,ssp585,median,6,49.07,24,180.01,30,7.635999999999999,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
四川,Sichuan Sheng,CHN.147295924,ssp585,p10,6,44.19,24,164.73,30,6.9639999999999995,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
四川,Sichuan Sheng,CHN.147295924,ssp585,p90,6,53.24,24,193.57,30,8.227,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
天津,Tianjin Shi,CHN.147295926,ssp119,median,6,81.92,24,313.97,30,13.196333333333335,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
天津,Tianjin Shi,CHN.147295926,ssp119,p10,6,76.4,24,296.15,30,12.418333333333331,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
天津,Tianjin Shi,CHN.147295926,ssp119,p90,6,87.03999999999999,24,329.67,30,13.890333333333334,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
天津,Tianjin Shi,CHN.147295926,ssp126,median,6,82.34,24,313.97,30,13.210333333333335,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
天津,Tianjin Shi,CHN.147295926,ssp126,p10,6,77.16,24,296.15,30,12.443666666666665,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
天津,Tianjin Shi,CHN.147295926,ssp126,p90,6,87.1,24,329.67,30,13.892333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
天津,Tianjin Shi,CHN.147295926,ssp245,median,6,81.93,24,313.97,30,13.196666666666667,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
天津,Tianjin Shi,CHN.147295926,ssp245,p10,6,77.05,24,296.15,30,12.44,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
天津,Tianjin Shi,CHN.147295926,ssp245,p90,6,87.84,24,329.67,30,13.917,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
天津,Tianjin Shi,CHN.147295926,ssp370,median,6,81.25,24,313.97,30,13.174000000000001,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
天津,Tianjin Shi,CHN.147295926,ssp370,p10,6,74.66,24,296.15,30,12.360333333333331,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
天津,Tianjin Shi,CHN.147295926,ssp370,p90,6,86.47,24,329.67,30,13.871333333333332,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
天津,Tianjin Shi,CHN.147295926,ssp585,median,6,82.86,24,313.97,30,13.227666666666668,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
