Province,Year,scenario,statistic,省平均气温,additive_bias,overlap_n,省平均气温_aligned
河南,2040,ssp370,p90,17.4,-0.5268630522222222,9,16.873136947777777
河南,2041,ssp370,p90,17.64,-0.5268630522222222,9,17.11313694777778
河南,2042,ssp370,p90,17.04,-0.5268630522222222,9,16.513136947777777
河南,2043,ssp370,p90,17.6,-0.5268630522222222,9,17.07313694777778
河南,2044,ssp370,p90,17.41,-0.5268630522222222,9,16.88313694777778
河南,2045,ssp370,p90,17.3,-0.5268630522222222,9,16.77313694777778
河南,2046,ssp370,p90,17.63,-0.5268630522222222,9,17.103136947777777
河南,2047,ssp370,p90,17.5,-0.5268630522222222,9,16.97313694777778
河南,2048,ssp370,p90,18.0,-0.5268630522222222,9,17.47313694777778
河南,2049,ssp370,p90,17.74,-0.5268630522222222,9,17.213136947777777
河南,2050,ssp370,p90,18.49,-0.5268630522222222,9,17.963136947777777
河南,2024,ssp585,median,15.86,0.10535917000000003,9,15.96535917
河南,2025,ssp585,median,15.95,0.10535917000000003,9,16.05535917
河南,2026,ssp585,median,15.93,0.10535917000000003,9,16.03535917
河南,2027,ssp585,median,16.08,0.10535917000000003,9,16.185359169999998
河南,2028,ssp585,median,16.0,0.10535917000000003,9,16.10535917
河南,2029,ssp585,median,16.22,0.10535917000000003,9,16.32535917
河南,2030,ssp585,median,16.32,0.10535917000000003,9,16.42535917
河南,2031,ssp585,median,16.29,0.10535917000000003,9,16.39535917
河南,2032,ssp585,median,16.16,0.10535917000000003,9,16.26535917
河南,2033,ssp585,median,16.26,0.10535917000000003,9,16.36535917
河南,2034,ssp585,median,16.43,0.10535917000000003,9,16.53535917
河南,2035,ssp585,median,16.36,0.10535917000000003,9,16.46535917
河南,2036,ssp585,median,16.31,0.10535917000000003,9,16.41535917
河南,2037,ssp585,median,16.51,0.10535917000000003,9,16.61535917
河南,2038,ssp585,median,16.66,0.10535917000000003,9,16.76535917
河南,2039,ssp585,median,16.55,0.10535917000000003,9,16.65535917
河南,2040,ssp585,median,16.53,0.10535917000000003,9,16.63535917
河南,2041,ssp585,median,16.57,0.10535917000000003,9,16.67535917
河南,2042,ssp585,median,16.71,0.10535917000000003,9,16.81535917
河南,2043,ssp585,median,16.87,0.10535917000000003,9,16.97535917
河南,2044,ssp585,median,17.11,0.10535917000000003,9,17.21535917
河南,2045,ssp585,median,16.91,0.10535917000000003,9,17.01535917
河南,2046,ssp585,median,17.04,0.10535917000000003,9,17.14535917
河南,2047,ssp585,median,17.0,0.10535917000000003,9,17.10535917
河南,2048,ssp585,median,17.37,0.10535917000000003,9,17.47535917
河南,2049,ssp585,median,17.2,0.10535917000000003,9,17.30535917
河南,2050,ssp585,median,17.19,0.10535917000000003,9,17.29535917
河南,2024,ssp585,p10,14.87,0.9998036144444442,9,15.869803614444443
河南,2025,ssp585,p10,15.11,0.9998036144444442,9,16.109803614444445
河南,2026,ssp585,p10,15.0,0.9998036144444442,9,15.999803614444444
河南,2027,ssp585,p10,15.08,0.9998036144444442,9,16.079803614444444
河南,2028,ssp585,p10,15.25,0.9998036144444442,9,16.249803614444446
河南,2029,ssp585,p10,15.2,0.9998036144444442,9,16.199803614444445
河南,2030,ssp585,p10,15.27,0.9998036144444442,9,16.269803614444445
河南,2031,ssp585,p10,15.47,0.9998036144444442,9,16.469803614444444
河南,2032,ssp585,p10,15.45,0.9998036144444442,9,16.449803614444445
河南,2033,ssp585,p10,15.42,0.9998036144444442,9,16.419803614444444
河南,2034,ssp585,p10,15.65,0.9998036144444442,9,16.649803614444444
河南,2035,ssp585,p10,15.63,0.9998036144444442,9,16.629803614444445
河南,2036,ssp585,p10,15.26,0.9998036144444442,9,16.259803614444444
河南,2037,ssp585,p10,15.61,0.9998036144444442,9,16.609803614444445
河南,2038,ssp585,p10,15.93,0.9998036144444442,9,16.929803614444445
河南,2039,ssp585,p10,15.57,0.9998036144444442,9,16.569803614444446
河南,2040,ssp585,p10,15.47,0.9998036144444442,9,16.469803614444444
河南,2041,ssp585,p10,15.64,0.9998036144444442,9,16.639803614444446
河南,2042,ssp585,p10,15.84,0.9998036144444442,9,16.839803614444445
河南,2043,ssp585,p10,15.82,0.9998036144444442,9,16.819803614444446
河南,2044,ssp585,p10,16.06,0.9998036144444442,9,17.059803614444444
河南,2045,ssp585,p10,15.99,0.9998036144444442,9,16.989803614444444
河南,2046,ssp585,p10,15.97,0.9998036144444442,9,16.969803614444444
河南,2047,ssp585,p10,15.82,0.9998036144444442,9,16.819803614444446
河南,2048,ssp585,p10,16.15,0.9998036144444442,9,17.149803614444444
河南,2049,ssp585,p10,16.35,0.9998036144444442,9,17.349803614444447
河南,2050,ssp585,p10,16.12,0.9998036144444442,9,17.119803614444447
河南,2024,ssp585,p90,16.82,-0.8279741633333335,9,15.992025836666667
河南,2025,ssp585,p90,16.49,-0.8279741633333335,9,15.662025836666665
河南,2026,ssp585,p90,16.78,-0.8279741633333335,9,15.952025836666667
河南,2027,ssp585,p90,16.66,-0.8279741633333335,9,15.832025836666666
河南,2028,ssp585,p90,16.74,-0.8279741633333335,9,15.912025836666665
河南,2029,ssp585,p90,17.23,-0.8279741633333335,9,16.402025836666667
河南,2030,ssp585,p90,17.15,-0.8279741633333335,9,16.322025836666665
河南,2031,ssp585,p90,17.28,-0.8279741633333335,9,16.452025836666667
河南,2032,ssp585,p90,17.59,-0.8279741633333335,9,16.762025836666666
河南,2033,ssp585,p90,17.44,-0.8279741633333335,9,16.612025836666668
河南,2034,ssp585,p90,17.17,-0.8279741633333335,9,16.342025836666668
河南,2035,ssp585,p90,17.7,-0.8279741633333335,9,16.872025836666666
河南,2036,ssp585,p90,17.46,-0.8279741633333335,9,16.632025836666667
河南,2037,ssp585,p90,18.06,-0.8279741633333335,9,17.232025836666665
河南,2038,ssp585,p90,17.79,-0.8279741633333335,9,16.962025836666665
河南,2039,ssp585,p90,18.0,-0.8279741633333335,9,17.172025836666666
河南,2040,ssp585,p90,18.2,-0.8279741633333335,9,17.372025836666666
河南,2041,ssp585,p90,18.06,-0.8279741633333335,9,17.232025836666665
河南,2042,ssp585,p90,18.1,-0.8279741633333335,9,17.272025836666668
河南,2043,ssp585,p90,18.64,-0.8279741633333335,9,17.812025836666667
河南,2044,ssp585,p90,18.23,-0.8279741633333335,9,17.402025836666667
河南,2045,ssp585,p90,18.4,-0.8279741633333335,9,17.572025836666665
河南,2046,ssp585,p90,18.48,-0.8279741633333335,9,17.652025836666667
河南,2047,ssp585,p90,18.9,-0.8279741633333335,9,18.072025836666665
河南,2048,ssp585,p90,18.57,-0.8279741633333335,9,17.742025836666667
河南,2049,ssp585,p90,18.69,-0.8279741633333335,9,17.862025836666668
河南,2050,ssp585,p90,19.03,-0.8279741633333335,9,18.202025836666667
浙江,2024,ssp119,median,17.97,-0.7238570433333338,9,17.246142956666667
浙江,2025,ssp119,median,17.96,-0.7238570433333338,9,17.23614295666667
浙江,2026,ssp119,median,17.91,-0.7238570433333338,9,17.186142956666668
浙江,2027,ssp119,median,18.01,-0.7238570433333338,9,17.28614295666667
浙江,2028,ssp119,median,18.05,-0.7238570433333338,9,17.32614295666667
浙江,2029,ssp119,median,18.04,-0.7238570433333338,9,17.316142956666667
浙江,2030,ssp119,median,18.03,-0.7238570433333338,9,17.30614295666667
浙江,2031,ssp119,median,18.0,-0.7238570433333338,9,17.276142956666668
浙江,2032,ssp119,median,18.18,-0.7238570433333338,9,17.456142956666667
浙江,2033,ssp119,median,18.24,-0.7238570433333338,9,17.516142956666666
浙江,2034,ssp119,median,18.14,-0.7238570433333338,9,17.41614295666667
浙江,2035,ssp119,median,18.16,-0.7238570433333338,9,17.436142956666668
浙江,2036,ssp119,median,18.23,-0.7238570433333338,9,17.506142956666668
浙江,2037,ssp119,median,18.26,-0.7238570433333338,9,17.53614295666667
浙江,2038,ssp119,median,18.33,-0.7238570433333338,9,17.606142956666666
浙江,2039,ssp119,median,18.23,-0.7238570433333338,9,17.506142956666668
浙江,2040,ssp119,median,18.19,-0.7238570433333338,9,17.46614295666667
浙江,2041,ssp119,median,18.26,-0.7238570433333338,9,17.53614295666667
浙江,2042,ssp119,median,18.28,-0.7238570433333338,9,17.55614295666667
浙江,2043,ssp119,median,18.32,-0.7238570433333338,9,17.596142956666668
浙江,2044,ssp119,median,18.27,-0.7238570433333338,9,17.546142956666667
浙江,2045,ssp119,median,18.3,-0.7238570433333338,9,17.57614295666667
浙江,2046,ssp119,median,18.33,-0.7238570433333338,9,17.606142956666666
浙江,2047,ssp119,median,18.28,-0.7238570433333338,9,17.55614295666667
浙江,2048,ssp119,median,18.39,-0.7238570433333338,9,17.66614295666667
浙江,2049,ssp119,median,18.33,-0.7238570433333338,9,17.606142956666666
浙江,2050,ssp119,median,18.39,-0.7238570433333338,9,17.66614295666667
浙江,2024,ssp119,p10,17.3,0.05392073444444476,9,17.353920734444447
浙江,2025,ssp119,p10,17.09,0.05392073444444476,9,17.143920734444446
浙江,2026,ssp119,p10,17.08,0.05392073444444476,9,17.133920734444445
浙江,2027,ssp119,p10,17.26,0.05392073444444476,9,17.313920734444448
浙江,2028,ssp119,p10,17.28,0.05392073444444476,9,17.333920734444447
浙江,2029,ssp119,p10,17.27,0.05392073444444476,9,17.323920734444446
浙江,2030,ssp119,p10,17.2,0.05392073444444476,9,17.253920734444446
浙江,2031,ssp119,p10,17.36,0.05392073444444476,9,17.413920734444446
浙江,2032,ssp119,p10,17.48,0.05392073444444476,9,17.533920734444447
浙江,2033,ssp119,p10,17.36,0.05392073444444476,9,17.413920734444446
浙江,2034,ssp119,p10,17.52,0.05392073444444476,9,17.573920734444446
浙江,2035,ssp119,p10,17.45,0.05392073444444476,9,17.503920734444446
浙江,2036,ssp119,p10,17.36,0.05392073444444476,9,17.413920734444446
浙江,2037,ssp119,p10,17.59,0.05392073444444476,9,17.643920734444446
浙江,2038,ssp119,p10,17.52,0.05392073444444476,9,17.573920734444446
浙江,2039,ssp119,p10,17.43,0.05392073444444476,9,17.483920734444446
浙江,2040,ssp119,p10,17.52,0.05392073444444476,9,17.573920734444446
浙江,2041,ssp119,p10,17.59,0.05392073444444476,9,17.643920734444446
浙江,2042,ssp119,p10,17.49,0.05392073444444476,9,17.543920734444445
浙江,2043,ssp119,p10,17.65,0.05392073444444476,9,17.703920734444445
浙江,2044,ssp119,p10,17.6,0.05392073444444476,9,17.653920734444448
浙江,2045,ssp119,p10,17.68,0.05392073444444476,9,17.733920734444446
浙江,2046,ssp119,p10,17.65,0.05392073444444476,9,17.703920734444445
浙江,2047,ssp119,p10,17.58,0.05392073444444476,9,17.633920734444445
浙江,2048,ssp119,p10,17.66,0.05392073444444476,9,17.713920734444446
