baseline_mode,baseline_mode_label,role_id,role_label,model_id,scheme_id,fe_label,scenario_id,scenario_label,scenario_family,statistic,Year,province_n,baseline_pred_mean,scenario_adjustment_mean,scenario_pred_mean,delta_vs_baseline_mean,rx1day_baseline_mean,rx1day_scenario_mean,rx1day_delta_mean,temperature_baseline_mean,temperature_scenario_mean,temperature_delta_mean,amc_baseline_mean,amc_scenario_mean,amc_delta_mean,baseline_pred_mean_at_end,delta_vs_baseline_at_end,delta_vs_last_observed
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,median,2050,31,27.210010924599764,-1.5189486859243142,25.691062238675453,-1.5189486859243146,36.69237244232996,36.69237244232996,0.0,1.675473010707608,1.675473010707608,0.0,28.608726030918174,14.304363015459087,-14.304363015459087,27.210010924599764,-1.5189486859243146,-5.766257860580126
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp370,SSP3-7.0（climate）,climate_ssp,median,2050,31,27.210010924599764,0.14385274823190913,27.35386367283168,0.14385274823190924,36.69237244232996,44.22522855882796,7.532856116497994,1.675473010707608,1.6349462365591398,-0.040526774148468225,28.608726030918174,28.608726030918174,0.0,27.210010924599764,0.14385274823190924,-4.1034564264239
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp370,SSP3-7.0（climate）,climate_ssp,p10,2050,31,27.210010924599764,-0.23759803834584825,26.972412886253917,-0.23759803834584817,36.69237244232996,43.06874110363083,6.3763686613008606,1.675473010707608,1.460172043010753,-0.21530096769685506,28.608726030918174,28.608726030918174,0.0,27.210010924599764,-0.23759803834584817,-4.484907213001662
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp370,SSP3-7.0（climate）,climate_ssp,p90,2050,31,27.210010924599764,1.73228593448268,28.942296859082447,1.73228593448268,36.69237244232996,44.90558698176703,8.213214539437063,1.675473010707608,2.4247634408602154,0.7492904301526072,28.608726030918174,28.608726030918174,0.0,27.210010924599764,1.73228593448268,-2.5150232401731323
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp585,SSP5-8.5（climate）,climate_ssp,median,2050,31,27.210010924599764,1.4872826798176069,28.697293604417375,1.4872826798176069,36.69237244232996,46.16243285990323,9.470060417573261,1.675473010707608,2.282516129032258,0.60704311832465,28.608726030918174,28.608726030918174,0.0,27.210010924599764,1.4872826798176069,-2.760026494838204
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp585,SSP5-8.5（climate）,climate_ssp,p10,2050,31,27.210010924599764,0.7632758521868549,27.973286776786622,0.7632758521868548,36.69237244232996,44.287379096462374,7.595006654132403,1.675473010707608,1.9459892473118277,0.27051623660421964,28.608726030918174,28.608726030918174,0.0,27.210010924599764,0.7632758521868548,-3.4840333224689566
lancet_ets,Lancet-like ETS baseline,main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,ssp585,SSP5-8.5（climate）,climate_ssp,p90,2050,31,27.210010924599764,2.6786799901989524,29.88869091479872,2.6786799901989524,36.69237244232996,47.73028232226881,11.037909879938855,1.675473010707608,2.85905376344086,1.1835807527332523,28.608726030918174,28.608726030918174,0.0,27.210010924599764,2.6786799901989524,-1.56862918445686
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,median,2050,31,27.210010924599764,-1.5675982188633228,25.642412705736444,-1.567598218863323,36.69237244232996,36.69237244232996,0.0,1.675473010707608,1.675473010707608,0.0,28.608726030918174,14.304363015459087,-14.304363015459087,27.210010924599764,-1.567598218863323,-5.814907393519135
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,baseline,2050,31,27.210010924599764,0.0,27.210010924599764,0.0,36.69237244232996,36.69237244232996,0.0,1.675473010707608,1.675473010707608,0.0,28.608726030918174,28.608726030918174,0.0,27.210010924599764,0.0,-4.247309174655815
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,median,2050,31,27.210010924599764,-0.8085045944336272,26.40150633016614,-0.8085045944336271,36.69237244232996,41.821285906498204,5.128913464168243,1.675473010707608,1.1500645161290322,-0.5254084945785761,28.608726030918174,28.608726030918174,0.0,27.210010924599764,-0.8085045944336271,-5.05581376908944
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,p10,2050,31,27.210010924599764,-0.9019122872608462,26.308098637338922,-0.9019122872608465,36.69237244232996,42.736590565996416,6.044218123666453,1.675473010707608,1.0840860215053767,-0.5913869892022314,28.608726030918174,28.608726030918174,0.0,27.210010924599764,-0.9019122872608465,-5.149221461916657
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,p90,2050,31,27.210010924599764,-0.3362284286432619,26.873782495956508,-0.3362284286432619,36.69237244232996,39.41164432943727,2.7192718871073116,1.675473010707608,1.447387096774194,-0.22808591393341415,28.608726030918174,28.608726030918174,0.0,27.210010924599764,-0.3362284286432619,-4.583537603299071
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp126,SSP1-2.6（climate）,climate_ssp,median,2050,31,27.210010924599764,-0.1628949661112812,27.047115958488487,-0.1628949661112813,36.69237244232996,43.861500960261644,7.169128517931687,1.675473010707608,1.469290322580645,-0.20618268812696303,28.608726030918174,28.608726030918174,0.0,27.210010924599764,-0.1628949661112813,-4.410204140767092
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp126,SSP1-2.6（climate）,climate_ssp,p10,2050,31,27.210010924599764,-0.5744790579266592,26.63553186667311,-0.574479057926659,36.69237244232996,43.61601708929391,6.923644646963944,1.675473010707608,1.24852688172043,-0.42694612898717793,28.608726030918174,28.608726030918174,0.0,27.210010924599764,-0.574479057926659,-4.82178823258247
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp126,SSP1-2.6（climate）,climate_ssp,p90,2050,31,27.210010924599764,0.8739252251433166,28.08393614974308,0.8739252251433167,36.69237244232996,43.614189132304666,6.921816689974696,1.675473010707608,2.0395698924731183,0.36409688176551,28.608726030918174,28.608726030918174,0.0,27.210010924599764,0.8739252251433167,-3.3733839495124975
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp245,SSP2-4.5（climate）,climate_ssp,median,2050,31,27.210010924599764,0.4989221875096614,27.708933112109428,0.4989221875096616,36.69237244232996,45.50791673087097,8.815544288541005,1.675473010707608,1.8038064516129029,0.12833344090529494,28.608726030918174,28.608726030918174,0.0,27.210010924599764,0.4989221875096616,-3.7483869871461515
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp245,SSP2-4.5（climate）,climate_ssp,p10,2050,31,27.210010924599764,-0.24299020162685847,26.96702072297291,-0.2429902016268583,36.69237244232996,44.01931458033333,7.326942138003371,1.675473010707608,1.422967741935484,-0.2525052687721242,28.608726030918174,28.608726030918174,0.0,27.210010924599764,-0.2429902016268583,-4.4902993762826675
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp245,SSP2-4.5（climate）,climate_ssp,p90,2050,31,27.210010924599764,1.150955097820248,28.360966022420016,1.1509550978202479,36.69237244232996,47.01232533302151,10.319952890691543,1.675473010707608,2.1353010752688175,0.4598280645612095,28.608726030918174,28.608726030918174,0.0,27.210010924599764,1.1509550978202479,-3.0963540768355635
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp370,SSP3-7.0（climate）,climate_ssp,median,2050,31,27.210010924599764,0.1513232879979603,27.36133421259773,0.15132328799796033,36.69237244232996,44.22522855882796,7.532856116497994,1.675473010707608,1.6349462365591398,-0.040526774148468225,28.608726030918174,28.608726030918174,0.0,27.210010924599764,0.15132328799796033,-4.09598588665785
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp370,SSP3-7.0（climate）,climate_ssp,p10,2050,31,27.210010924599764,-0.20332614769743365,27.006684776902336,-0.20332614769743346,36.69237244232996,43.06874110363083,6.3763686613008606,1.675473010707608,1.460172043010753,-0.21530096769685506,28.608726030918174,28.608726030918174,0.0,27.210010924599764,-0.20332614769743346,-4.450635322353243
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp370,SSP3-7.0（climate）,climate_ssp,p90,2050,31,27.210010924599764,1.6179074284093775,28.827918353009146,1.6179074284093773,36.69237244232996,44.90558698176703,8.213214539437063,1.675473010707608,2.4247634408602154,0.7492904301526072,28.608726030918174,28.608726030918174,0.0,27.210010924599764,1.6179074284093773,-2.629401746246433
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp585,SSP5-8.5（climate）,climate_ssp,median,2050,31,27.210010924599764,1.3950714320205067,28.605082356620276,1.3950714320205069,36.69237244232996,46.16243285990323,9.470060417573261,1.675473010707608,2.282516129032258,0.60704311832465,28.608726030918174,28.608726030918174,0.0,27.210010924599764,1.3950714320205069,-2.852237742635303
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp585,SSP5-8.5（climate）,climate_ssp,p10,2050,31,27.210010924599764,0.7227271050425478,27.932738029642316,0.7227271050425479,36.69237244232996,44.287379096462374,7.595006654132403,1.675473010707608,1.9459892473118277,0.27051623660421964,28.608726030918174,28.608726030918174,0.0,27.210010924599764,0.7227271050425479,-3.5245820696132633
lancet_ets,Lancet-like ETS baseline,robust_low_vif,稳健性模型 1,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,Province: No / Year: Yes,ssp585,SSP5-8.5（climate）,climate_ssp,p90,2050,31,27.210010924599764,2.49769584694229,29.707706771542057,2.49769584694229,36.69237244232996,47.73028232226881,11.037909879938855,1.675473010707608,2.85905376344086,1.1835807527332523,28.608726030918174,28.608726030918174,0.0,27.210010924599764,2.49769584694229,-1.7496133277135222
lancet_ets,Lancet-like ETS baseline,robust_systematic,稳健性模型 2,SYS_09556 | Province: No / Year: Yes,SYS_09556,Province: No / Year: Yes,amc_reduce_50,AMC reduces 50% by 2050,amc_intervention,median,2050,31,27.210010924599764,-1.4455683110068567,25.76444261359291,-1.4455683110068562,36.69237244232996,36.69237244232996,0.0,1.675473010707608,1.675473010707608,0.0,28.608726030918174,14.304363015459087,-14.304363015459087,27.210010924599764,-1.4455683110068562,-5.69287748566267
lancet_ets,Lancet-like ETS baseline,robust_systematic,稳健性模型 2,SYS_09556 | Province: No / Year: Yes,SYS_09556,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,baseline,2050,31,27.210010924599764,0.0,27.210010924599764,0.0,36.69237244232996,36.69237244232996,0.0,1.675473010707608,1.675473010707608,0.0,28.608726030918174,28.608726030918174,0.0,27.210010924599764,0.0,-4.247309174655815
lancet_ets,Lancet-like ETS baseline,robust_systematic,稳健性模型 2,SYS_09556 | Province: No / Year: Yes,SYS_09556,Province: No / Year: Yes,ssp119,SSP1-1.9（climate）,climate_ssp,median,2050,31,27.210010924599764,-0.414487091321385,26.79552383327838,-0.414487091321385,36.69237244232996,41.821285906498204,5.128913464168243,1.675473010707608,1.1500645161290322,-0.5254084945785761,28.608726030918174,28.608726030918174,0.0,27.210010924599764,-0.414487091321385,-4.661796265977198
