Province,Year,role_id,role_label,model_id,scheme_id,scheme_source,fe_label,scenario_id,scenario_label,scenario_family,scenario_description,statistic,baseline_pred,scenario_adjustment,scenario_pred,delta_vs_baseline,rx1day_baseline,rx1day_scenario,rx1day_delta,baseline_mode,baseline_mode_label
辽宁,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,18.81700783666134,0.0,18.81700783666134,0.0,62.220191963655544,62.220191963655544,0.0,lancet_ets,Lancet-like ETS baseline
重庆,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,29.712679948108168,0.0,29.712679948108168,0.0,43.86207973077786,43.86207973077786,0.0,lancet_ets,Lancet-like ETS baseline
陕西,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,31.853071955908835,0.0,31.853071955908835,0.0,31.38664933461126,31.38664933461126,0.0,lancet_ets,Lancet-like ETS baseline
青海,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,25.122361507963134,0.0,25.122361507963134,0.0,5.951731028433,5.951731028433,0.0,lancet_ets,Lancet-like ETS baseline
黑龙江,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,baseline_ets,Baseline (ETS),baseline,"Use ETS on the outcome itself as the future baseline, then add scenario deltas from future R1xday paths.",baseline,28.704012042104328,0.0,28.704012042104328,0.0,26.89610696780329,26.89610696780329,0.0,lancet_ets,Lancet-like ETS baseline
上海,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,28.629659469950855,-0.5997857716350004,28.029873698315853,-0.5997857716350019,115.39469490289476,95.2641108211111,-20.130584081783653,lancet_ets,Lancet-like ETS baseline
云南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,29.920048155908628,0.19190167318845497,30.11194982909708,0.19190167318845397,20.84046911840916,27.281256729999996,6.440787611590835,lancet_ets,Lancet-like ETS baseline
内蒙古,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,29.979943203443046,-0.10452050240670557,29.87542270103634,-0.1045205024067073,12.931681364238123,9.423664233000002,-3.5080171312381214,lancet_ets,Lancet-like ETS baseline
北京,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,35.76044341101053,-0.3904076156135416,35.37003579539699,-0.3904076156135403,85.51864526557621,72.41541123777779,-13.103234027798422,lancet_ets,Lancet-like ETS baseline
吉林,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,30.383208273313116,-0.2752786783712916,30.107929594941826,-0.27527867837128994,43.92574370177605,34.68657724777778,-9.239166453998273,lancet_ets,Lancet-like ETS baseline
四川,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,29.173766644685863,0.12196498859074627,29.29573163327661,0.12196498859074723,15.418393935188469,19.511899606666667,4.093505671478198,lancet_ets,Lancet-like ETS baseline
天津,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,28.855126377909986,1.3786142942243003,30.233740672134285,1.378614294224299,23.534591889264505,69.80496421,46.27037232073549,lancet_ets,Lancet-like ETS baseline
宁夏,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,25.51294639342082,0.16938569989107352,25.682332093311892,0.16938569989107322,16.651113558278134,22.336198525555552,5.685084967277419,lancet_ets,Lancet-like ETS baseline
安徽,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,19.923774906098103,1.4866719351591604,21.410446841257265,1.486671935159162,0.39409082847862464,50.29119710888889,49.89710628041026,lancet_ets,Lancet-like ETS baseline
山东,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,26.049221862130043,-0.39721966317961693,25.652002198950427,-0.3972196631796159,66.69212283533625,53.36025634777778,-13.331866487558472,lancet_ets,Lancet-like ETS baseline
山西,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,29.552800061741905,-0.010463761718240585,29.542336300023663,-0.010463761718241926,31.23025230049783,30.879057515555555,-0.3511947849422761,lancet_ets,Lancet-like ETS baseline
广东,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,30.227363841687712,2.121226528421412,32.34859037010912,2.12122652842141,-8.631537342966666,62.563097485555545,71.19463482852221,lancet_ets,Lancet-like ETS baseline
广西,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,30.42963585157488,1.2458948696822008,31.67553072125708,1.2458948696821999,6.445867726925684,48.26178370444444,41.815915977518756,lancet_ets,Lancet-like ETS baseline
新疆,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,25.323679693872077,-0.007112755544155934,25.31656693832792,-0.007112755544156357,3.9681688680408773,3.729443759333333,-0.23872510870754438,lancet_ets,Lancet-like ETS baseline
江苏,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,24.48060382742358,-0.07395687172507985,24.4066469556985,-0.07395687172508048,65.94019129570692,63.457979987777776,-2.4822113079291483,lancet_ets,Lancet-like ETS baseline
江西,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,29.672263369649695,-0.0817761143198785,29.590487255329815,-0.08177611431987941,52.036710167827735,49.292061956666664,-2.7446482111610706,lancet_ets,Lancet-like ETS baseline
河北,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,28.61718234329627,-1.2832268998704315,27.33395544342584,-1.2832268998704315,82.19397863597658,39.125089333333335,-43.06888930264324,lancet_ets,Lancet-like ETS baseline
河南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,20.759177746012945,-2.5734046156378696,18.185773130375075,-2.5734046156378696,130.78396645835275,44.41289791777778,-86.37106854057498,lancet_ets,Lancet-like ETS baseline
浙江,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,20.42076457436648,2.1300246765145254,22.550789250881007,2.1300246765145268,-14.404012986043568,57.08591370888889,71.48992669493245,lancet_ets,Lancet-like ETS baseline
海南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,27.212778743264707,0.8831820198694277,28.095960763134133,0.8831820198694267,67.50588193236415,97.14808211666666,29.64220018430251,lancet_ets,Lancet-like ETS baseline
湖北,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,29.80911874474936,0.1866897989711402,29.9958085437205,0.18668979897114113,37.339883522154366,43.60574522333334,6.26586170117897,lancet_ets,Lancet-like ETS baseline
湖南,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,30.382399624793386,0.15935389732157504,30.541753522114963,0.15935389732157645,32.73558223131605,38.08397024,5.348388008683948,lancet_ets,Lancet-like ETS baseline
甘肃,2050,main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,ssp119,SSP1-1.9（rx1day）,rx1day_ssp,将未来 R1xday 路径替换为 CCKP SSP1-1.9 的省级年度序列，其余协变量保留基线延续路径。,median,28.760179756855663,0.0349805049290486,28.795160261784712,0.034980504929048806,8.398881438664631,9.572930622555555,1.174049183890924,lancet_ets,Lancet-like ETS baseline
