predictor,vif_raw,vif_z,abs_diff,scheme,fe_spec
抗菌药物使用强度,38.487105066357664,1.120875290069362,37.3662297762883,方案C_污染替代组,NoYes_YearFE
可支配收入,9.82542798573132,1.7032473802637424,8.122180605467577,方案C_污染替代组,NoYes_YearFE
建成区绿化覆盖率,62.516300270282386,1.5261235897945098,60.99017668048788,方案C_污染替代组,NoYes_YearFE
人均日生活用水量(升),18.039850592498723,1.3544144237481528,16.68543616875057,方案C_污染替代组,NoYes_YearFE
"牲畜饲养
-猪年底头数",3.4851685945541657,1.514145225644874,1.9710233689092918,方案C_污染替代组,NoYes_YearFE
省平均气温,9.86123124841674,2.3320339747723744,7.529197273644366,方案C_污染替代组,YesNo_EntityFE
R1xday,6.099771452486116,1.986075431931401,4.113696020554714,方案C_污染替代组,YesNo_EntityFE
氮氧化物,4.259508867644269,1.4821457534151976,2.777363114229071,方案C_污染替代组,YesNo_EntityFE
抗菌药物使用强度,38.487105066357664,1.120875290069362,37.3662297762883,方案C_污染替代组,YesNo_EntityFE
可支配收入,9.82542798573132,1.7032473802637424,8.122180605467577,方案C_污染替代组,YesNo_EntityFE
建成区绿化覆盖率,62.516300270282386,1.5261235897945098,60.99017668048788,方案C_污染替代组,YesNo_EntityFE
人均日生活用水量(升),18.039850592498723,1.3544144237481528,16.68543616875057,方案C_污染替代组,YesNo_EntityFE
"牲畜饲养
-猪年底头数",3.4851685945541657,1.514145225644874,1.9710233689092918,方案C_污染替代组,YesNo_EntityFE
省平均气温,9.86123124841674,2.3320339747723744,7.529197273644366,方案C_污染替代组,YesYes_TwoWayFE
R1xday,6.099771452486116,1.986075431931401,4.113696020554714,方案C_污染替代组,YesYes_TwoWayFE
氮氧化物,4.259508867644269,1.4821457534151976,2.777363114229071,方案C_污染替代组,YesYes_TwoWayFE
抗菌药物使用强度,38.487105066357664,1.120875290069362,37.3662297762883,方案C_污染替代组,YesYes_TwoWayFE
可支配收入,9.82542798573132,1.7032473802637424,8.122180605467577,方案C_污染替代组,YesYes_TwoWayFE
建成区绿化覆盖率,62.516300270282386,1.5261235897945098,60.99017668048788,方案C_污染替代组,YesYes_TwoWayFE
人均日生活用水量(升),18.039850592498723,1.3544144237481528,16.68543616875057,方案C_污染替代组,YesYes_TwoWayFE
"牲畜饲养
-猪年底头数",3.4851685945541657,1.514145225644874,1.9710233689092918,方案C_污染替代组,YesYes_TwoWayFE
