scheme,fe_spec,predictor,coef,p_value,ci_low,ci_high
方案D_城市气候组,YesYes_TwoWayFE,建成区绿化覆盖率,0.09671208010883994,0.10000452018283856,-0.01865590968050089,0.2120800698981808
方案D_城市气候组,YesYes_TwoWayFE,"牲畜饲养
-猪年底头数",-0.10277403630218802,0.3210861778723295,-0.30634757733895707,0.100799504734581
方案F_低VIF主线组,NoYes_YearFE,TA（°C）,0.09043372716655328,0.058660014101654445,-0.003333098329742143,0.18420055266284868
方案F_低VIF主线组,NoYes_YearFE,R1xday,0.13437185131360752,0.05111765478361385,-0.0006569813939774072,0.26940068402119244
方案F_低VIF主线组,NoYes_YearFE,PM2.5,0.022654737974558036,0.8094636158313826,-0.16210500563756955,0.2074144815866856
方案F_低VIF主线组,NoYes_YearFE,抗菌药物使用强度,0.1282545796871254,0.003374069913059108,0.0428578541607432,0.2136513052135076
方案F_低VIF主线组,NoYes_YearFE,GDP,0.16078375457296912,0.04187934941611471,0.005947296068411545,0.3156202130775267
方案F_低VIF主线组,NoYes_YearFE,文盲比例,0.04183953231812638,0.5764355208665446,-0.10541509888399542,0.18909416352024816
方案F_低VIF主线组,NoYes_YearFE,人均日生活用水量(升),-0.12025364356520432,0.1175235821301035,-0.27101430988207476,0.03050702275166614
方案F_低VIF主线组,NoYes_YearFE,"牲畜饲养
-猪年底头数",0.05074396511612366,0.5275891223505556,-0.10717321101955302,0.20866114125180035
方案F_低VIF主线组,NoYes_YearFE,主要城市日照时数,-0.009319110151139164,0.8911942676524534,-0.14328767495718356,0.12464945465490522
方案F_低VIF主线组,YesNo_EntityFE,TA（°C）,-0.021497490226317143,0.4005639951085247,-0.07176849769852112,0.028773517245886827
方案F_低VIF主线组,YesNo_EntityFE,R1xday,-0.020746759239321337,0.3027448718698107,-0.060306797362805066,0.018813278884162392
方案F_低VIF主线组,YesNo_EntityFE,PM2.5,0.0969212008481678,0.0024902920140539297,0.034426852593390435,0.15941554910294517
方案F_低VIF主线组,YesNo_EntityFE,抗菌药物使用强度,0.0025184379428203046,0.8951928006931316,-0.035085465818782455,0.04012234170442307
方案F_低VIF主线组,YesNo_EntityFE,GDP,-0.3124792463686009,0.013232599033216497,-0.5591551482139436,-0.06580334452325817
方案F_低VIF主线组,YesNo_EntityFE,文盲比例,0.23402622670076528,0.0024409948836654483,0.0834332723942488,0.38461918100728176
方案F_低VIF主线组,YesNo_EntityFE,人均日生活用水量(升),-0.05299650163657682,0.2433933666851722,-0.142245840005487,0.036252836732333385
方案F_低VIF主线组,YesNo_EntityFE,"牲畜饲养
-猪年底头数",0.1442758678941895,0.04508856665621486,0.0031812268206775074,0.2853705089677015
方案F_低VIF主线组,YesNo_EntityFE,主要城市日照时数,-0.00903267512967954,0.8438373147466047,-0.0992264183681812,0.08116106810882213
方案F_低VIF主线组,YesYes_TwoWayFE,TA（°C）,0.023722971822259284,0.4704725596345729,-0.04091025846654471,0.08835620211106328
方案F_低VIF主线组,YesYes_TwoWayFE,R1xday,-0.0034526550919808676,0.8453797987802627,-0.03828112971988084,0.03137581953591911
方案F_低VIF主线组,YesYes_TwoWayFE,PM2.5,-0.0034815670416635932,0.9302231099935889,-0.08170098539998294,0.07473785131665575
方案F_低VIF主线组,YesYes_TwoWayFE,抗菌药物使用强度,0.009280731741281089,0.5173643895479167,-0.018909140488855485,0.03747060397141766
方案F_低VIF主线组,YesYes_TwoWayFE,GDP,-0.03601293631402367,0.7577692261671503,-0.26571091295547955,0.1936850403274322
方案F_低VIF主线组,YesYes_TwoWayFE,文盲比例,0.0835923128106182,0.15682364328372556,-0.0323327448736873,0.19951737049492368
方案F_低VIF主线组,YesYes_TwoWayFE,人均日生活用水量(升),0.014095707933790683,0.7990514464042369,-0.09482571251560817,0.12301712838318954
方案F_低VIF主线组,YesYes_TwoWayFE,"牲畜饲养
-猪年底头数",-0.10292864238314418,0.37480594559637614,-0.33091119998616364,0.1250539152198753
方案F_低VIF主线组,YesYes_TwoWayFE,主要城市日照时数,-0.008718918936898391,0.8300591243605289,-0.08863436438834585,0.07119652651454905
方案C_污染替代组,NoYes_YearFE,省平均气温,-0.08455846458886986,0.2745626895714177,-0.2365906099506132,0.06747368077287351
方案C_污染替代组,NoYes_YearFE,R1xday,0.04800738050644008,0.33080614435478806,-0.04899028727295967,0.14500504828583982
方案C_污染替代组,NoYes_YearFE,氮氧化物,0.10421165272418965,0.19456224599380478,-0.053538858213254645,0.26196216366163394
方案C_污染替代组,NoYes_YearFE,抗菌药物使用强度,0.11191680859907785,0.002199189098312848,0.040621825579919016,0.1832117916182367
方案C_污染替代组,NoYes_YearFE,可支配收入,0.28761465495633126,5.4771045592927337e-05,0.14938907735827986,0.42584023255438264
方案C_污染替代组,NoYes_YearFE,建成区绿化覆盖率,0.12919794763383552,0.028508315084782243,0.013678361318899351,0.2447175339487717
方案C_污染替代组,NoYes_YearFE,人均日生活用水量(升),-0.05108837042931249,0.4796177861295674,-0.19314459718599664,0.09096785632737164
