AMR,Predictor,Coef,CI_lo,CI_hi,p,N,R2_within
3GCREC,生活垃圾无害化处理率,0.41034009173535985,-0.48363517917833415,1.3043153626490538,0.3694266280682843,239,-0.1089648626389712
3GCREC,抗菌药物使用强度,-0.001617637006251843,-0.47382283929573205,0.47058756528322837,0.9946496695764881,239,-0.1089648626389712
CREC,省平均气温,1.1694243673730553,-2.3956145498932218,4.734463284639332,0.5210323790075173,239,-0.31057359674759466
CREC,省平均降水,-0.2183466768780894,-0.6891009605155853,0.2524076067594066,0.36443480747184576,239,-0.31057359674759466
CREC,R1xday,0.004537481870449947,-0.07797306343793006,0.08704802717882995,0.9142775812914388,239,-0.31057359674759466
CREC,PM2.5,0.05403304884231735,-0.17777298799713767,0.28583908568177235,0.6482796624679761,239,-0.31057359674759466
CREC,医疗水平,0.2659505264989971,-0.3028675065712899,0.8347685595692841,0.3606024420841627,239,-0.31057359674759466
CREC,GDP,0.09333367101856732,-0.4705587997592468,0.6572261417963814,0.7459767825105716,239,-0.31057359674759466
CREC,城市用水普及率,0.05625244930400944,-0.1849166619232576,0.29742156053127644,0.6480644632417221,239,-0.31057359674759466
CREC,生活垃圾无害化处理率,-0.0004105739888070843,-0.16205952250893055,0.16123837453131637,0.9960331084955958,239,-0.31057359674759466
CREC,抗菌药物使用强度,-0.04489236221516755,-0.13344517292044036,0.04366044849010526,0.3216454987327566,239,-0.31057359674759466
QREC,省平均气温,2.4099271308911723,-8.751682106864465,13.571536368646811,0.6726294051717496,239,0.27547923528793294
QREC,省平均降水,0.7623289020223212,-0.40490561591493623,1.9295634199595786,0.20205011809810336,239,0.27547923528793294
QREC,R1xday,0.031270285955743306,-0.3693565436134305,0.43189711552491716,0.8785701963181773,239,0.27547923528793294
QREC,PM2.5,-0.09587210327568316,-0.5498442178991326,0.35810001134776626,0.6793903976013305,239,0.27547923528793294
QREC,医疗水平,-0.3038592700235809,-1.462587732673426,0.8548691926262642,0.6078533959961212,239,0.27547923528793294
QREC,GDP,-1.640715129497495,-2.908155702396797,-0.3732745565981932,0.011963870518598707,239,0.27547923528793294
QREC,城市用水普及率,-0.5120828741787573,-1.4477931655042506,0.4236274171467359,0.2847710125413454,239,0.27547923528793294
QREC,生活垃圾无害化处理率,0.0462109520381723,-0.401618914550701,0.4940408186270455,0.8399345371849356,239,0.27547923528793294
QREC,抗菌药物使用强度,-0.0036672696260485215,-0.2635245903569187,0.2561900511048217,0.9779613088969641,239,0.27547923528793294
CRPA,省平均气温,0.9648515288196635,-8.146192945601,10.075896003240326,0.8357896214048852,239,0.22199650018282024
CRPA,省平均降水,-2.0658158218970244,-3.9490951545834765,-0.18253648921057253,0.03280165067893592,239,0.22199650018282024
CRPA,R1xday,-0.04009468155774874,-0.4392843165483856,0.3590949534328881,0.8441420853528281,239,0.22199650018282024
CRPA,PM2.5,0.36991721759421325,-0.7169430599381966,1.456777495126623,0.5055089973862836,239,0.22199650018282024
CRPA,医疗水平,-0.3710068179700387,-2.8472487896812275,2.10523515374115,0.769333224350939,239,0.22199650018282024
CRPA,GDP,-0.637997561482643,-2.7999234476549986,1.5239283246897126,0.5636630209480344,239,0.22199650018282024
CRPA,城市用水普及率,-0.13426349169506044,-1.5440517715689817,1.2755247881788607,0.8521203026139608,239,0.22199650018282024
CRPA,生活垃圾无害化处理率,0.093434567215491,-0.4401452594140934,0.6270143938450754,0.731811476649189,239,0.22199650018282024
CRPA,抗菌药物使用强度,-0.07138956510021491,-0.5146406251589691,0.37186149495853926,0.7525898371118596,239,0.22199650018282024
CRKP,省平均气温,0.9678897967921396,-7.572995301412968,9.508774894997247,0.824458737736405,239,0.09717942737388452
CRKP,省平均降水,-0.26866576330647735,-1.476849557354791,0.9395180307418365,0.6634338631192083,239,0.09717942737388452
CRKP,R1xday,0.07800541607217516,-0.30918084236401094,0.46519167450836124,0.693370346487225,239,0.09717942737388452
CRKP,PM2.5,0.0790068072714117,-0.8988466241095191,1.0568602386523425,0.8743383245793641,239,0.09717942737388452
CRKP,医疗水平,-0.16421701198261662,-2.103648487051822,1.7752144630865891,0.8683632474161938,239,0.09717942737388452
CRKP,GDP,0.662497711965697,-1.4745656265044753,2.7995610504358694,0.5441621398809757,239,0.09717942737388452
CRKP,城市用水普及率,0.9407293271491829,-0.16806451834612968,2.0495231726444954,0.09795260692819951,239,0.09717942737388452
CRKP,生活垃圾无害化处理率,0.013214766866799857,-0.34422227224064444,0.37065180597424413,0.9423085271516101,239,0.09717942737388452
CRKP,抗菌药物使用强度,0.04485082998543771,-0.40886749574459474,0.49856915571547017,0.8465759178790786,239,0.09717942737388452
CRAB,省平均气温,17.22125371520249,0.7431274115230657,33.69938001888191,0.041875527494090736,239,0.26493699674605764
CRAB,省平均降水,0.05168214277487355,-2.8710166645687414,2.974380950118489,0.9723876966531211,239,0.26493699674605764
